Name,Latitude,Longitude,PM25_Latest,Status,ColorCode
NMA - Nima,5.58389,-0.19968,,No Data,#808080
NMT - Nima,5.58165,-0.19898,,No Data,#808080
JTA - Jamestown,5.5401139,-0.2103972,,No Data,#808080
ADT - Asylum Down,5.570722,-0.2120555,,No Data,#808080
ADEPA - Asylum Down,5.567833,-0.2040278,,No Data,#808080
ADA - Asylum Down,5.566722,-0.2077778,,No Data,#808080
ELC - East Legon,5.6335571,-0.1651875,,No Data,#808080
ELT - East Legon,5.6408995,-0.1695437,,No Data,#808080
ELA - East Legon,5.6408137,-0.1579063,,No Data,#808080
SPARTAN - IIT Kanpur,26.519,80.233,,No Data,#808080
"Delhi Technological University, Delhi - CPCB",28.744,77.12,,No Data,#808080
SPARTAN - CITEDEF,-34.56,-58.506,,No Data,#808080
IGI Airport,28.56,77.094,,No Data,#808080
Civil Lines,28.6787,77.2262,,No Data,#808080
"R K Puram, Delhi - DPCC",28.563262,77.186937,,No Data,#808080
SPARTAN - Vietnam Acad. Sci.,21.048,105.8,,No Data,#808080
MNB,47.929732,106.888629,,No Data,#808080
Beijing US Embassy,39.95,116.47,,No Data,#808080
SPARTAN - Dhaka University,23.728,90.398,,No Data,#808080
Amgalan,47.913429,106.99790699999998,,No Data,#808080
SPARTAN - NUS,1.298,103.78,,No Data,#808080
Parque O'Higgins,-33.464142,-70.660797,,No Data,#808080
Inpesca,-36.737202,-73.104427,,No Data,#808080
Concón,-32.924568,-71.515399,,No Data,#808080
Ursynów,52.16077306,21.03916667,,No Data,#808080
100 ail,47.9329056,106.9213833,,No Data,#808080
Wekerom-Riemterdijk,52.11162100019676,5.708418999868416,,No Data,#808080
SPARTAN - Tsinghua University,40.01,116.333,,No Data,#808080
Zaanstad-Hemkade,52.420230000140556,4.832060000156797,,No Data,#808080
SPARTAN - Weizmann Institute,31.907,34.81,,No Data,#808080
Cauquenes,-34.241168,-70.55283,,No Data,#808080
Gobernación,-22.093082,-70.20121,,No Data,#808080
Groningen-Europaweg,53.21779599995612,6.578901000005765,,No Data,#808080
SPARTAN - Ilorin University,8.484,4.675,,No Data,#808080
Konarskiego,52.17203333,22.27277778,,No Data,#808080
Heerlen-Jamboreepad,50.90031700019946,5.986852999872599,,No Data,#808080
Puente Alto,-33.591390623022,-70.594788,,No Data,#808080
Bukhiin urguu,47.9176056,106.93736109999999,,No Data,#808080
Valparaiso,-33.049743798096,-71.614167231712,,No Data,#808080
Baruun 4 zam,47.9153833,106.89419440000002,,No Data,#808080
"Phahol Yothin Rd., Khet Chatuchak",13.797855,100.551338,,No Data,#808080
"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,,No Data,#808080
Wieringerwerf-Medemblikkerweg,52.80365700000841,5.050508999758845,,No Data,#808080
Rotterdam-Oost Sidelinge A13,51.938472000211014,4.430691999983553,,No Data,#808080
Shenyang,41.78,123.42,,No Data,#808080
Talagante,-33.673752071375,-70.953064737434,,No Data,#808080
Utrecht-Kardinaal de Jongweg,52.105030999760636,5.124464000283312,,No Data,#808080
"Khlong Nueng, Khlong Luang",14.040299305494,100.60873959621,,No Data,#808080
Zegveld-Oude Meije,52.137949999962665,4.83819000034937,,No Data,#808080
Nisekh,47.863943,106.779094,,No Data,#808080
Haringey - Haringey Town Hall,51.599302,-0.068218,,No Data,#808080
Coya Población,-34.203524,-70.529854,,No Data,#808080
Philippine-Stelleweg,51.294498000233624,3.749483999842556,,No Data,#808080
Mustang Bayou C619,29.308562,-95.19991,,No Data,#808080
Punteras,-36.923329602986,-73.036132300941,,No Data,#808080
"Bang Khun Thian, Chom Thong",13.684229480854,100.44598735492,,No Data,#808080
Ventanas,-32.77898790221,-71.373031276855,,No Data,#808080
Cerro Merquín,-37.021182877699,-73.149555550926,,No Data,#808080
Kingston College,-36.784653741124,-73.052063025795,,No Data,#808080
Biest Houtakker-Biestsestraat,51.51843999991451,5.148450000227909,,No Data,#808080
Curicó,-34.974925077541,-71.233967512329,,No Data,#808080
Coyhaique II,-45.579045667164,-72.049964505825,,No Data,#808080
Leiden-Willem de Zwijgerlaan,52.1678,4.50756,,No Data,#808080
De Zilk-Vogelaarsdreef,52.296555999830005,4.51081699998525,,No Data,#808080
Hoek v. Holland-Berghaven,51.977803000229876,4.121944000373796,,No Data,#808080
Hilversum-J. Gerardtsweg,52.23510000000001,5.18155,,No Data,#808080
Amsterdam-Van Diemenstraat,52.389983000188224,4.88781099987638,,No Data,#808080
Coronel Norte,-37.008669,-73.148086,,No Data,#808080
Haarlem-Schipholweg,52.37050800002991,4.642319000180212,,No Data,#808080
Hellendoorn-Luttenbergerweg,52.388271999985,6.402932999609704,,No Data,#808080
De Rips-Blaarpeelweg,51.5475,5.8382,,No Data,#808080
De Rips-Klotterpeellaan,51.5359,5.80859,,No Data,#808080
Misheel expo,47.8943389,106.8824722,,No Data,#808080
Nijmegen-Graafseweg,51.84137200018528,5.857776999815399,,No Data,#808080
"Din Daeng, Din Daeng",13.775373291477,100.56892844813,,No Data,#808080
Amsterdam-Vondelpark,52.35971400001388,4.866208000411839,,No Data,#808080
Wijk aan Zee-Burgemeester Rothestraat,52.4939920000485,4.601986000379324,,No Data,#808080
IJmuiden-Kanaaldijk,52.46303900009865,4.60184200043928,,No Data,#808080
Amsterdam-Westerpark,52.39397200025616,4.870156999790721,,No Data,#808080
Maastricht-A2 Kasteel Hillenraadweg,50.8598,5.71381,,No Data,#808080
Badhoevedorp-Sloterweg,52.3340030002512,4.7740060003231,,No Data,#808080
Amsterdam-Hoogtij,52.42801700027339,4.7734780002434976,,No Data,#808080
Amsterdam-Einsteinweg,52.381331000231505,4.845232999687698,,No Data,#808080
"Income Tax Office, Delhi - CPCB",28.623499999999996,77.2494,,No Data,#808080
Prabadang Rehabiltation Center,13.664087,100.543436,,No Data,#808080
Los Vientos,-32.833639,-70.99693,,No Data,#808080
Harrow - Stanmore,51.617327,-0.298775,,No Data,#808080
"Lat Phrao Rd., Wang Thonglang",13.792635009230002,100.59607755884001,,No Data,#808080
Alto Hospicio,-20.259620485825,-70.088653564453,,No Data,#808080
Alto Hospicio,-20.290859340668,-70.09955406189,,No Data,#808080
London Harlington - UKA00472,51.48878999962389,-0.44161399993549455,,No Data,#808080
Chengdu,30.63,104.07,,No Data,#808080
Shanghai,31.21,121.44,,No Data,#808080
Guangzhou,23.12,113.32,,No Data,#808080
Escuela E-10,-22.087,-70.193253,,No Data,#808080
Southwark A2 Old Kent Road - UKA00558,51.4804989994662,-0.059550000208953166,,No Data,#808080
Greenwich - Eltham,51.45258,0.070766,,No Data,#808080
London Bloomsbury - UKA00211,51.52228999923011,-0.12588900021133392,,No Data,#808080
Ealing - Horn Lane,51.518948,-0.265617,,No Data,#808080
London Haringey Priory Park South - UKA00568,51.58412799971813,-0.1252540000016108,,No Data,#808080
